No,Nama Aset,Bentuk Pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur alun,Lintang alun,Jarak pusat kota,Jarak jalan utama
16,,Pakai,Pasar,Pusat,Strategis,Bagus,905,MANISREJO,TAMAN,PAKAI,Jl. Tanjung Raya,Dinas Pasar,905,32800,38610,Sewa - Kota,111.546666666667,7.6435,112,8,3661,
79,,Sewa,Ruko,Pusat,Strategis,Bagus,229,JOSENAN,TAMAN,PAKAI,Jl. Tilampil,DKK,229,30952,39189,,111.515866666667,7.65315,112,8,2678,
19,,Pakai,Pasar,Pusat,Strategis,Bagus,5200,NAMBANGAN KIDUL,MANGUHARJO,PAKAI,Jl. Tirta Raya,Dinas Pasar,5200,29980,37924,Sewa - Kota,111.499666666667,7.63206666666667,112,8,1917,
81,,Sewa,Ruko,Pusat,Strategis,Bagus,2379,NAMBANGAN KIDUL,MANGUHARJO,PAKAI,Jl. Trunojoyo,DKK,2379,31053,38709,,111.51755,7.64515,112,8,1788,
18,,Pakai,Pasar,Pusat,Strategis,Bagus,1490,KANIGORO,KARTOHARJO,PAKAI,Jl.Dr.Setiabudi,Dinas pasar,1490,32892,38113,Sewa - Kota,111.5482,7.63521666666667,112,8,3527,
92,,Pakai,Kantor,Pinggir,Sedang,Bagus,710,DEMANGAN,TAMAN,PAKAI,Jl.jati siwur,Demangan,710,31562,39672,,111.526033333333,7.6612,112,8,3713,
70,,Pakai,Taman,Pusat,Strategis,Kosong,1945,MADIUN LOR,MANGUHARJO,PAKAI,jl.Jawa,,1945,31404,37392,,111.5234,7.6232,112,8,978,
,,Sewa,Ruko,Pusat,Strategis,Bagus,311,MADIUN LOR,MANGUHARJO,PAKAI,Jl.Pahlawan no 19,,311,31258,37256,,111.520966666667,7.62093333333333,112,8,1016,
,,Pakai,Ruko,Pusat,Sedang,Sedang,175,MADIUN LOR,MANGUHARJO,PAKAI,Jl.Sumatra no.33,,175,31286,37237,,111.521433333333,7.62061666666667,112,8,1071,
59,,Sewa,Sawah,Pinggir,Kurang,Tidak,5700,JOSENAN,TAMAN,MILIK,Sawah Blok Serandu,Josenan,5700,30473,40297,,111.507883333333,7.67161666666667,112,8,4831,
2,,Sewa,Kantor,Pinggir,Sedang,Bagus,200,,,HPL,,BUMD,200,111.495008,-7.624703,Sewa - Kabupaten,111.495008,7.624703,112,8,2451,
3,,Sewa,Ruko,Pusat,Strategis,Bagus,500,,,HPL,,Geprek Juara,500,111.526403,-7.641749,Sewa - Kabupaten,111.526403,7.641749,112,8,1762,
9,,Sewa,Ruko,Pusat,Strategis,Bagus,200,,,HPL,,BPKAD,200,111.512291,-7.633486,Sewa - Kabupaten,111.512291,7.633486,112,8,698,
10,,Sewa,Ruko,Pusat,Strategis,Bagus,90,,,HPL,,,90,,,Sewa - Kota,111,7,112,8,90232,
25,,Sewa,Perumahan,Sedang,Kurang,Sedang,5055,PANDEAN,TAMAN,HGB,,,5055,31836,38651,Sewa Kota,111.5306,7.64418333333333,112,8,2265,
31,,Sewa,Ruko,Pusat,Strategis,Bagus,255,PANDEAN,TAMAN,HGB,,,255,31942,38652,Pakai PasarKota,111.532366666667,7.6442,112,8,2402,
37,,Sewa,Ruko,Pusat,Strategis,Bagus,150,,,HPL,,BPKAD,150,111.52578,-7.623174,Sewa - Kabupaten,111.52578,7.623174,112,8,1188,
38,,Sewa,Ruko,Pusat,Strategis,Bagus,100,,,HPL,,BPKAD,100,111.658034,-7.548136,Sewa - Kabupaten,111.658034,7.548136,112,8,17982,
39,,Sewa,Ruko,Pusat,Strategis,Bagus,2000,,,HPL,,Ruko,2000,111.515217,-7.624166,Sewa - Kabupaten,111.515217,7.624166,112,8,574,
40,,Sewa,Ruko,Pusat,Strategis,Bagus,70,,,HPL,,Kantor,70,111.661205,-7.548428,Sewa - Kabupaten,111.661205,7.548428,112,8,18269,
44,,Pakai,Ruko,Pusat,Sedang,Sedang,3565,ORO ORO OMBO,KARTOHARJO,PAKAI,,Oro-oro Ombo,3565,32109,37365,,111.53515,7.62275,112,8,2141,
48,,Pakai,Ruko,Pusat,Sedang,Sedang,4135,ORO ORO OMBO,KARTOHARJO,PAKAI,,Oro-oro Ombo,4135,32204,37371,,111.536733333333,7.62285,112,8,2304,
54,,Pakai,Ruko,Pusat,Sedang,Sedang,9460,REJOMULYO,KARTOHARJO,PAKAI,,Rejomulyo,9460,32448,37324,,111.5408,7.62206666666667,112,8,2758,
