No,Nama Aset,Bentuk Pemanfaatan,Peruntukan,Pusat_kota,Visibilitas,Bangunan,Luas,Desa,Kecamatan,Jenis Hak,Jalan,Pengelola,Luas,Bujur,Lintang,Sumber_data,Bujur Desimal,Lintang Desimal,Bujur alun,Lintang alun,Jarak pusat kota,Jarak jalan utama
65,,Pakai,Sawah,Pinggir,Kurang,Tidak,5720,MANGUHARJO,MANGUHARJO,PAKAI,Blok Sawah,Manguharjo,5720,"30,204","37,264",,111.5034,7.62106666666667,112,8,"1,725",
66,,Pakai,Sawah,Pinggir,Kurang,Tidak,6635,KEJURON,TAMAN,PAKAI,Blok Sawah Koci,Kejuron,6635,"30,042","38,418",,111.5007,7.6403,112,8,"2,169",
67,,Pakai,Sawah,Pinggir,Kurang,Tidak,7745,KEJURON,TAMAN,PAKAI,Blok sawah,Mojorejo,7745,"30,225","38,133",,111.50375,7.63555,112,8,"1,608",
68,,Pakai,Sawah,Pinggir,Kurang,Tidak,2370,KEJURON,TAMAN,PAKAI,Blok Sawah Koci,Mojorejo,2370,"30,312","38,194",,111.5052,7.63656666666667,112,8,"1,525",
69,,Pakai,Sawah,Pinggir,Kurang,Tidak,6065,KEJURON,TAMAN,PAKAI,Blok Sawah Koci,Mojorejo,6065,"29,877","38,175",,111.49795,7.63625,112,8,"2,225",
70,,Pakai,Taman,Pusat,Strategis,Kosong,1945,MADIUN LOR,MANGUHARJO,PAKAI,jl.Jawa,,1945,"31,404","37,392",,111.5234,7.6232,112,8,978,
71,,Pakai,Taman,Pusat,Strategis,Kosong,1700,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Pahlawan,Madiun Lor,1700,"31,210","37,340",,111.520166666667,7.62233333333333,112,8,837,
72,,Pakai,Taman,Pusat,Strategis,Kosong,1624,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Pahlawan,Madiun Lor,1624,"31,186","37,337",,111.519766666667,7.62228333333333,112,8,824,
73,,Pakai,Taman,Pusat,Strategis,Kosong,2074,PANGONGANGAN,MANGUHARJO,PAKAI,JALAN PAHLAWAN,ASET KOTA,2074,"31,189","37,477",,111.519816666667,7.62461666666667,112,8,598,
74,,Sewa,Sawah,Pinggir,Kurang,Tidak,2786,KANIGORO,KARTOHARJO,MILIK,Jl. Sri Sedono,KANIGORO,2786,"33,124","38,056",,111.552066666667,7.63426666666667,112,8,"3,929",
75,,Sewa,Sawah,Pinggir,Kurang,Tidak,4000,,,HPL,,BUMD,4000,111.52828,-7.644049,Sewa - Kabupaten,111.52828,7.644049,112,8,"2,090",
76,,Pakai,Ruko,Pusat,Sedang,Sedang,599,BANJAREJO,TAMAN,PAKAI,,UPTD TAMAN,599,"31,787","38,986",,111.529783333333,7.64976666666667,112,8,"2,709",
78,,Sewa,Ruko,Pusat,Strategis,Bagus,754,ORO ORO OMBO,KARTOHARJO,HPL,Jl. Diponegoro No. 34,DKK,754,"31,782","37,408",,111.5297,7.62346666666667,112,8,"1,553",
79,,Sewa,Ruko,Pusat,Strategis,Bagus,229,JOSENAN,TAMAN,PAKAI,Jl. Tilampil,DKK,229,"30,952","39,189",,111.515866666667,7.65315,112,8,"2,678",
80,,Sewa,Ruko,Pusat,Strategis,Bagus,270,MADIUN LOR,MANGUHARJO,PAKAI,Jl. Candi Sewu,DKK,270,"31,302","36,899",,111.5217,7.61498333333333,112,8,"1,658",
81,,Sewa,Ruko,Pusat,Strategis,Bagus,2379,NAMBANGAN KIDUL,MANGUHARJO,PAKAI,Jl. Trunojoyo,DKK,2379,"31,053","38,709",,111.51755,7.64515,112,8,"1,788",
82,,Sewa,Ruko,Pusat,Strategis,Bagus,90,NAMBANGAN LOR,MANGUHARJO,PAKAI,Jl. Agus Salim,DKK,90,"31,023","38,078",,111.51705,7.63463333333333,112,8,618,
83,,Sewa,Ruko,Pusat,Strategis,Bagus,366,ORO ORO OMBO,KARTOHARJO,PAKAI,,DKK,366,"32,009","37,435",,111.533483333333,7.62391666666667,112,8,"1,926",
84,,Pakai,Kantor,Pinggir,Sedang,Bagus,997,MOJOREJO,TAMAN,PAKAI,Jl. Dr. Setia Budi,Mojorejo,997,"32,102","37,965",,111.535033333333,7.63275,112,8,"2,050",
85,,Pakai,Kantor,Pinggir,Sedang,Bagus,410,MOJOREJO,TAMAN,PAKAI,Jl. Setia Budi No. 62 - 13,Mojorejo,410,"32,041","37,959",,111.534016666667,7.63265,112,8,"1,938",
86,,Pakai,Kantor,Pinggir,Sedang,Bagus,260,KEJURON,TAMAN,PAKAI,Jl. Kapten Saputro,Kejuron,260,"31,546","38,105",,111.525766666667,7.63508333333333,112,8,"1,192",
87,,Pakai,Kantor,Pinggir,Sedang,Bagus,1867,KEJURON,TAMAN,PAKAI,Jl. Kapten Saputro,Kejuron,1867,"31,548","38,111",,111.5258,7.63518333333333,112,8,"1,202",
88,,Pakai,Taman,Pusat,Strategis,Kosong,17033,KEJURON,TAMAN,PAKAI,Jl. Kapten Saputro,Kejuron,17033,"31,608","38,061",,111.5268,7.63435,112,8,"1,248",
89,,Pakai,Sawah,Pinggir,Kurang,Tidak,4905,JOSENAN,TAMAN,PAKAI,Blok Sawah Kurupati,Patihan,4905,"30,529","40,454",,111.508816666667,7.67423333333333,112,8,"5,097",
90,,Pakai,Sawah,Pinggir,Kurang,Tidak,45000,JOSENAN,TAMAN,PAKAI,,Namb. Lor,45000,"30,430","40,104",,111.507166666667,7.6684,112,8,"4,499",
91,,Pakai,Sawah,Pinggir,Kurang,Tidak,3865,DEMANGAN,TAMAN,PAKAI,Blok Piang Semi,Demangan,3865,"30,525","40,069",,111.50875,7.66781666666667,112,8,"4,397",
92,,Pakai,Kantor,Pinggir,Sedang,Bagus,710,DEMANGAN,TAMAN,PAKAI,Jl.jati siwur,Demangan,710,"31,562","39,672",,111.526033333333,7.6612,112,8,"3,713",
93,,Pakai,Kantor,Pinggir,Sedang,Bagus,600,DEMANGAN,TAMAN,PAKAI,Jl. Jati Siwur RT 14,Demangan,600,"31,419","39,670",,111.52365,7.66116666666667,112,8,"3,647",
94,,Pakai,Sawah,Pinggir,Kurang,Tidak,10390,BANJAREJO,TAMAN,PAKAI,,Banjarejo,10390,"32,306","39,444",,111.538433333333,7.6574,112,8,"3,949",
95,,Pakai,Sawah,Pinggir,Kurang,Tidak,6650,BANJAREJO,TAMAN,PAKAI,,Banjarejo,6650,"32,281","39,342",,111.538016666667,7.6557,112,8,"3,772",
95,,Pakai,Sawah,Pinggir,Kurang,Tidak,6390,BANJAREJO,TAMAN,PAKAI,,Banjarejo,6390,"32,315","39,468",,111.538583333333,7.6578,112,8,"3,995",
96,,Pakai,Perumahan,Sedang,Kurang,Sedang,8985,ORO ORO OMBO,KARTOHARJO,PAKAI,Blok Selatan Pertamina,Oro-oro Ombo,8985,"31,631","36,915",,111.527183333333,7.61525,112,8,"1,917",
,,Pakai,Sawah,Pinggir,Kurang,Tidak,13155,ORO ORO OMBO,KARTOHARJO,PAKAI,Blok Utara Pertamina,Oro-oro Ombo,13155,"31,704","36,745",,111.5284,7.61241666666667,112,8,"2,251",
,,Pakai,Perumahan,Sedang,Kurang,Sedang,7165,ORO ORO OMBO,KARTOHARJO,PAKAI,,Oro-oro Ombo,7165,"31,662","36,919",,111.5277,7.61531666666667,112,8,"1,946",
,,Pakai,Sawah,Pinggir,Kurang,Tidak,18340,SUKOSARI,KARTOHARJO,PAKAI,,Sukosari,18340,"31,979","36,807",,111.532983333333,7.61345,112,8,"2,491",
,,Pakai,Sawah,Pinggir,Kurang,Tidak,18110,SUKOSARI,KARTOHARJO,PAKAI,,Sukosari,18110,"31,977","36,711",,111.53295,7.61185,112,8,"2,615",
,,Pakai,Sawah,Pinggir,Kurang,Tidak,17770,SUKOSARI,KARTOHARJO,PAKAI,,Sukosari,17770,"32,019","36,721",,111.53365,7.61201666666667,112,8,"2,655",
,,Pakai,Ruko,Pusat,Sedang,Sedang,175,MADIUN LOR,MANGUHARJO,PAKAI,Jl.Sumatra no.33,,175,"31,286","37,237",,111.521433333333,7.62061666666667,112,8,"1,071",
,,Sewa,Ruko,Pusat,Strategis,Bagus,311,MADIUN LOR,MANGUHARJO,PAKAI,Jl.Pahlawan no 19,,311,"31,258","37,256",,111.520966666667,7.62093333333333,112,8,"1,016",
